Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,44.1,33.6,8.2,40.0,38.6,41.7,20.5,16.8,45.4,47.3,33.5,32.9
2,15.4,3.7,37.0,22.7,25.2,42.4,3.9,40.8,34.9,8.1,37.8,17.6
3,7.4,13.8,22.4,0.5,45.8,13.0,24.0,15.7,16.4,14.9,20.9,35.6
4,35.3,12.4,12.3,33.8,11.4,4.7,12.1,30.3,28.8,49.4,25.7,41.1
5,40.0,31.5,37.8,45.7,5.3,20.9,49.0,24.9,20.4,44.4,23.1,4.4
6,37.0,31.6,4.0,23.4,22.1,33.8,2.8,33.1,25.3,39.0,15.1,26.0
7,11.7,8.3,29.9,14.9,10.6,7.0,3.2,47.0,49.1,25.9,20.3,48.6
8,12.3,4.8,14.9,17.4,27.8,2.4,49.2,17.1,16.6,34.1,27.2,4.9
9,30.3,14.7,43.7,0.1,32.9,14.1,31.9,26.6,21.4,14.1,17.9,2.6
10,41.9,0.5,34.6,10.9,9.8,16.8,5.5,24.3,35.4,15.3,5.6,40.4
11,44.8,21.0,30.2,2.1,29.8,45.5,48.9,0.3,21.7,12.6,9.0,47.6
12,24.1,30.6,32.9,45.8,30.8,49.4,35.6,12.6,36.5,28.5,3.4,32.7
13,21.7,44.6,8.2,44.0,37.9,36.4,16.3,13.9,10.8,34.7,45.6,38.1
14,19.5,19.1,18.7,47.9,23.9,34.8,22.4,8.5,22.8,44.5,11.5,5.4
15,44.3,48.8,20.4,8.8,28.3,32.2,12.2,35.2,38.0,9.4,46.3,1.8
16,46.0,6.4,13.6,34.5,18.6,31.5,24.9,38.1,43.0,1.0,2.1,48.9
17,11.9,29.6,24.9,22.8,20.8,41.3,44.2,6.4,1.0,44.4,16.0,21.2
18,4.9,45.0,34.1,17.5,2.6,21.0,31.5,3.8,22.6,15.8,30.6,16.3
19,13.8,8.1,24.7,36.2,7.4,6.0,27.4,4.8,47.6,9.3,27.5,39.7
20,6.7,21.8,27.6,42.9,48.9,32.1,36.3,15.0,2.3,29.2,28.7,15.4
21,48.7,14.5,44.1,35.7,26.3,8.8,29.1,17.3,18.9,10.7,32.4,17.8
22,3.8,23.2,44.5,15.4,9.7,8.6,11.6,11.1,45.5,36.0,15.8,7.1
23,34.2,16.8,20.8,10.9,39.7,38.2,41.0,34.9,6.7,34.5,0.2,24.7
24,32.7,48.0,35.8,4.9,42.3,34.0,9.2,28.3,24.9,39.7,23.2,16.3
25,37.6,40.0,9.6,41.0,48.0,37.2,47.9,42.1,35.4,40.7,8.2,27.6
26,20.4,40.3,41.5,16.1,37.1,8.9,45.0,29.6,20.9,47.2,23.5,26.0
27,33.0,33.2,33.8,43.2,0.1,7.0,38.9,43.7,11.1,37.7,47.7,37.3
28,48.8,38.3,17.5,23.5,29.9,39.9,30.6,24.2,36.9,48.6,19.8,34.8
29,16.0,,42.2,36.8,44.6,48.9,16.2,42.8,40.8,33.1,9.2,49.6
30,31.2,,2.1,46.2,15.5,14.5,19.8,27.2,12.3,30.1,23.6,33.3
31,12.5,,35.3,,0.0,,23.0,47.8,,47.3,,39.7
